TICID,Camera,CCD,Tmag,RA,Dec
7545799,2,4,10.73,258.5273,46.8071
7545870,2,4,11.61,258.4683,46.5819
7546165,2,4,8.87,258.5710,45.6522
7546499,2,4,11.79,258.5297,44.6363
7547011,2,4,10.69,258.5680,43.1611
7579643,2,4,8.64,272.2881,43.2306
7579725,2,4,8.91,272.3071,43.0613
7580070,2,4,10.16,272.3093,42.4375
7581229,2,4,8.92,272.3536,43.3173
7582594,2,4,8.57,272.3966,45.8308
7582633,2,4,9.92,272.3288,45.9244
7582634,2,4,10.48,272.3307,45.9255
7584971,2,4,8.09,272.5415,45.2208
7585322,2,4,8.90,272.5121,44.5446
7615976,2,4,9.95,272.5166,43.8029
7617010,2,4,9.36,272.6331,42.1067
7617177,2,4,8.59,272.6429,42.0301
7618785,2,4,5.99,272.7084,44.5982
7619197,2,4,8.08,272.7299,45.3263
7619770,2,4,10.11,272.7372,46.3883
7620435,2,1,10.45,272.7173,47.6850
7620704,2,1,5.81,272.8927,47.6596
7622101,2,4,17.50,272.9312,44.9170
7622188,2,4,9.80,272.8379,44.7468
7622763,2,4,8.11,272.9529,43.6974
7675494,2,4,9.93,273.0594,43.0725
7675859,2,4,16.30,273.0948,43.3524
7676021,2,4,9.34,272.9862,43.4804
7676447,2,4,10.01,273.0682,43.8101
7677087,2,4,10.43,273.0430,44.3394
7677372,2,4,9.89,273.0187,44.5848
7678444,2,4,10.04,273.0726,45.5767
7679229,2,4,9.70,272.9907,46.2330
7683887,2,4,10.83,273.2518,45.1270
7684333,2,4,9.92,273.1759,44.7488
7684339,2,4,10.19,273.1642,44.7386
7685737,2,4,10.40,273.2949,43.5319
7686889,2,4,8.10,273.2053,42.6235
7694175,2,4,8.25,273.3484,45.5908
7694545,2,4,8.72,273.3606,46.2237
7694690,2,4,8.64,273.4250,46.4835
7695147,2,1,14.47,273.3391,47.3509
7718560,2,4,8.15,274.1082,44.2924
7718665,2,4,10.99,274.0372,44.4609
7719339,2,4,10.93,273.9834,45.5407
7719424,2,4,9.73,274.0394,45.6686
7720507,2,1,8.65,274.0755,47.4978
7720786,2,1,7.92,274.1726,47.9110
7721008,2,1,10.36,274.1343,47.4736
7773413,2,4,8.53,274.1294,45.5598
7773681,2,4,12.78,274.2197,45.1252
7773822,2,4,10.74,274.2316,44.9051
7778483,2,4,9.97,274.3945,46.1368
7802263,2,1,8.13,275.2519,47.7761
7802700,2,1,8.25,275.1828,47.0873
7853440,2,1,8.97,275.4063,47.1452
7854182,2,1,9.06,275.5485,47.5690
7854637,2,1,10.82,275.4461,46.9228
7854743,2,1,9.34,275.4395,46.7751
7899754,2,4,9.40,275.6018,45.7437
8309401,1,2,12.00,245.0231,35.1472
8309423,1,2,10.21,245.0762,35.0915
8310222,1,2,8.86,245.1334,32.7823
8345208,1,2,7.67,245.1051,30.5098
8345989,1,2,10.70,245.1421,31.5485
8346151,1,2,12.23,245.2407,32.0148
8346476,1,2,9.00,245.2121,32.9273
8347034,1,2,9.31,245.2460,34.5479
8347068,1,2,5.68,245.1457,34.6277
8347531,1,2,8.20,245.3362,35.8977
8347680,1,2,13.61,245.3804,35.3253
8347721,1,2,11.16,245.3060,35.2163
8347908,1,2,8.08,245.3131,34.6361
8348042,1,2,10.02,245.4050,34.2352
8348911,1,2,13.50,245.2801,31.5771
8395545,1,2,10.01,245.4599,30.5466
8395677,1,2,4.03,245.5236,30.8926
8395801,1,2,9.14,245.4833,31.2087
8396093,1,2,8.25,245.4197,32.0483
8396311,1,2,8.62,245.5144,32.6841
8397355,1,2,11.54,245.5243,35.7473
8397585,1,2,9.75,245.6174,35.4361
8397974,1,2,11.17,245.5598,34.2423
8398010,1,2,9.39,245.6192,34.1054
8398131,1,2,3.42,245.5893,33.7988
8398178,1,2,3.94,245.6217,33.7038
8398699,1,2,9.95,245.6825,32.2488
8398717,1,2,10.18,245.6842,32.2072
8398826,1,2,9.96,245.5632,31.9003
8399874,1,2,5.30,245.7712,30.8502
8400312,1,2,9.68,245.7960,32.0186
8400354,1,2,10.38,245.7760,32.1379
8412401,1,2,10.82,245.8132,32.8411
8412407,1,2,8.38,245.8242,32.8516
8412717,1,2,7.16,245.8109,33.6977
8413737,1,2,13.13,245.8388,35.1781
8413930,1,2,18.86,245.8501,34.6136
8414333,1,2,8.56,245.8842,33.3577
8414396,1,2,10.49,245.9474,33.1545
8415484,1,2,9.59,245.8654,30.0351
8415769,1,2,8.86,245.9891,30.6137
8416296,1,2,8.94,246.0803,32.0757
8416754,1,2,9.49,246.0943,33.2938
8417111,1,2,13.53,246.0817,34.2427
8417276,1,2,11.93,246.0274,34.7115
8444068,1,2,9.53,246.0884,34.9990
8444531,1,2,12.75,246.1684,35.3921
8444713,1,2,10.28,246.1577,34.9567
8445177,1,2,16.77,246.1824,33.6400
8445641,1,2,15.79,246.2042,32.2839
8445665,1,2,16.74,246.1539,32.2142
8447415,1,2,10.26,246.3872,32.3097
8447749,1,2,11.73,246.3573,33.2314
8447857,1,2,9.32,246.3028,33.5522
8480619,1,2,11.74,246.4415,32.4955
8481418,1,2,8.37,246.4516,30.2647
8482357,1,2,7.90,246.5475,32.0820
8482479,1,2,9.49,246.5968,32.4326
8483309,1,2,10.07,246.5523,34.6859
8483961,1,2,10.03,246.7814,35.3353
8484425,1,2,8.44,246.7619,34.0022
8484602,1,2,9.93,246.7556,33.4751
8498132,1,2,9.29,246.8078,31.9347
8499834,1,2,8.29,246.8346,32.3526
8501044,1,2,14.48,246.8252,35.6440
8501064,1,2,11.19,246.9070,35.6953
8501513,1,2,10.82,246.9639,34.8029
8501745,1,2,10.64,246.9874,34.1160
8502009,1,2,10.12,247.0745,33.4485
8502091,1,2,8.24,246.9765,33.1966
8502290,1,2,5.94,246.9903,32.6994
8542848,1,2,10.74,247.1355,30.3625
8542957,1,2,8.68,247.1238,30.6248
8544214,1,2,10.23,247.1765,34.1342
8544508,1,2,10.04,247.1813,34.8584
8544602,1,2,8.75,247.1776,35.1072
8544796,1,2,10.57,247.2010,35.7082
8545474,1,2,10.26,247.3588,34.3877
8545877,1,2,9.56,247.3024,33.2882
8546373,1,2,9.78,247.2927,31.9944
8547445,1,2,9.62,247.4372,30.6954
8575845,1,2,11.11,247.5180,32.8724
8575933,1,2,9.26,247.3951,33.1165
8576011,1,2,10.87,247.4890,33.2920
8577116,1,2,9.36,247.5504,35.6029
8577279,1,2,9.22,247.5346,35.1711
8577354,1,2,10.42,247.5327,34.9877
8577941,1,2,11.21,247.6006,33.4624
8577961,1,2,7.88,247.5187,33.4105
8578224,1,2,8.37,247.6297,32.7407
8579011,1,2,7.78,247.6237,30.5742
8579206,1,2,9.42,247.5978,30.0802
8579298,1,2,9.25,247.7100,30.0096
8579668,1,2,6.64,247.7298,30.9409
8589330,1,2,4.65,247.7615,35.2250
8589633,1,2,13.87,247.8376,35.8554
8590161,1,2,11.52,247.8784,34.3465
8590469,1,2,7.03,247.8772,33.5136
8590856,1,2,10.71,247.8273,32.4393
8591447,1,2,11.41,247.8092,30.9600
8592033,1,2,9.99,248.0230,30.3859
8592228,1,2,13.59,248.0557,30.9790
8592244,1,2,9.29,247.9601,31.0161
8592789,1,2,9.53,247.9795,32.5320
8592830,1,2,11.56,248.0579,32.6594
8593150,1,2,12.80,248.0419,33.6536
8593371,1,2,8.30,248.0374,34.2990
8593558,1,2,9.04,248.0310,34.8191
8593559,1,2,9.24,247.9733,34.8197
8593825,1,2,12.93,247.9415,35.6281
8621470,1,2,17.61,248.1595,35.1854
8621913,1,2,10.55,248.1742,33.9387
8621946,1,2,12.85,248.1419,33.8291
8623162,1,2,11.29,248.1316,30.5663
8623751,1,2,7.52,248.3021,30.9076
8624617,1,2,11.35,248.2818,33.5237
8625175,1,2,7.54,248.2194,35.0750
8625528,1,2,12.64,248.4459,35.6822
8669365,1,2,10.06,248.4219,32.2392
8669539,1,2,10.89,248.4175,31.7800
8669966,1,2,6.65,248.3711,30.4991
8670004,1,2,10.80,248.4298,30.4191
8670159,1,2,8.29,248.4529,29.9302
8670333,1,2,12.91,248.5502,30.2618
8670969,1,2,8.41,248.6007,32.0191
8671649,1,2,16.84,248.5226,33.8463
8671718,1,2,9.16,248.6175,34.0428
8671736,1,2,8.31,248.5067,34.1030
8671755,1,2,10.18,248.5746,34.1585
8673277,1,2,7.44,248.7584,33.2130
8673807,1,2,9.28,248.7305,31.7147
8673878,1,2,12.11,248.7540,31.5081
8674013,1,2,8.02,248.7779,31.0830
8674540,1,2,10.44,248.8060,30.1356
8674749,1,2,10.43,248.9087,30.6128
8675112,1,2,9.73,248.8196,31.5344
8675468,1,2,9.67,248.8572,32.5329
8675769,1,2,9.71,248.7829,33.3012
8676350,1,2,10.28,248.8652,35.0152
8676623,1,2,11.46,248.8070,35.7884
9462585,1,1,8.81,258.1935,30.0997
9462784,1,1,8.69,258.2215,30.5691
9463703,1,1,10.59,258.1741,32.5243
9463722,1,1,8.87,258.1650,32.5902
9464138,1,1,13.16,258.2341,33.5219
9464597,1,1,8.99,258.3034,34.5208
9471161,1,1,11.40,258.4217,35.4024
9471805,1,1,17.00,258.3758,33.9283
9472239,1,1,11.76,258.4304,32.9347
9473243,1,1,10.56,258.3974,30.7100
9474009,1,1,9.91,258.4953,30.7550
9474136,1,1,9.01,258.5265,30.9908
9474413,1,1,10.39,258.5054,31.6152
9475873,1,1,10.17,258.4880,34.9535
9527068,1,1,11.14,258.6542,32.2653
9527682,1,1,8.37,258.6411,30.9561
9528312,1,1,9.97,258.8299,30.1673
9528350,1,1,9.69,258.7572,30.2455
9529379,1,1,11.55,258.8298,32.3471
9529396,1,1,11.46,258.7401,32.3718
9529499,1,1,11.29,258.8405,32.6135
9530065,1,1,8.89,258.8242,33.9565
9530828,1,1,9.59,258.7583,35.6628
9531189,1,1,10.35,258.9734,35.3833
9531502,1,1,5.73,258.9086,34.7076
9532180,1,1,14.70,258.8960,33.2169
9566042,1,1,8.50,258.8662,32.1030
9566650,1,1,10.93,258.8653,30.8716
9568269,1,1,11.73,259.0385,32.3894
9568410,1,1,11.99,259.0763,32.7289
9568459,1,1,8.30,259.0446,32.8476
9569216,1,1,8.66,259.1019,34.5064
9569351,1,1,10.13,259.0665,34.8166
9569353,1,1,10.13,259.1279,34.8176
9569354,1,1,11.83,259.1267,34.8188
9569707,1,1,10.16,259.0187,35.6493
9570201,1,1,8.87,259.1885,35.0632
9570387,1,1,10.44,259.2296,34.6142
9570943,1,1,9.53,259.2260,33.3703
9571167,1,1,10.02,259.2814,32.9032
9571542,1,1,11.46,259.2266,32.1967
9586115,1,1,9.48,259.3530,30.4113
9587018,1,1,7.84,259.4081,31.4482
9588485,1,1,5.02,259.3315,33.1001
9589032,1,1,9.64,259.3803,33.7576
9589060,1,1,10.80,259.3039,33.7877
9589146,1,1,8.03,259.3910,33.8891
9590013,1,1,8.33,259.3961,34.9742
9591111,1,1,11.22,259.4819,35.5448
9591114,1,1,12.39,259.4802,35.5446
9591342,1,1,10.47,259.4819,35.3034
9593196,1,1,10.50,259.5107,33.1832
9593659,1,1,5.86,259.5636,32.6905
9595589,1,1,11.29,259.4774,30.9949
9596048,1,1,8.02,259.4791,30.5593
9621911,1,1,16.86,259.4486,30.4401
9623272,1,1,11.88,259.6977,31.9049
9624343,1,1,11.02,259.6444,34.0091
9624681,1,1,9.99,259.6712,34.7381
9625098,1,1,9.16,259.6927,35.6697
9625597,1,1,8.93,259.7189,35.1591
9626063,1,1,8.33,259.8365,34.1514
9627899,1,1,7.95,259.7850,30.6324
9700667,1,1,8.95,259.9519,30.1825
9701843,1,1,10.48,259.9013,32.4165
9702199,1,1,8.84,259.8693,33.0863
9703086,1,1,9.87,259.9053,34.9734
9703633,1,1,8.65,260.0010,35.6871
9703636,1,1,7.88,260.0314,35.6844
9704100,1,1,9.90,260.1209,34.6765
9706247,1,1,9.61,260.0657,30.5356
9706300,1,1,10.60,260.1064,30.4058
9728611,1,1,4.79,260.1658,32.4618
9728645,1,1,10.14,260.1282,32.5470
9729447,1,1,9.85,260.1442,34.0446
9729491,1,1,10.88,260.1528,34.1241
9730456,1,1,9.67,260.3021,35.8405
9731248,1,1,9.35,260.3319,34.2869
9731916,1,1,11.10,260.3373,33.0503
9732196,1,1,8.37,260.2982,32.5361
9732254,1,1,9.98,260.2866,32.4417
9732500,1,1,10.97,260.3484,31.9878
9732569,1,1,8.22,260.3884,31.8608
9732882,1,1,6.40,260.3111,31.2570
9733303,1,1,9.72,260.2960,30.5368
9779230,1,1,7.72,260.5209,31.9877
9779535,1,1,9.44,260.4571,32.5400
9780434,1,1,9.49,260.4554,34.1916
9781025,1,1,9.41,260.4152,35.4133
9781213,1,1,7.07,260.4115,35.8239
9781916,1,1,8.45,260.6315,34.6192
9782158,1,1,10.35,260.6431,34.1612
9784151,1,1,8.37,260.6221,30.5282
9784814,1,1,11.47,260.8234,30.4486
9784978,1,1,9.86,260.7201,30.7139
9821994,1,1,9.09,260.7519,33.6815
9822067,1,1,7.87,260.7614,33.7987
9824479,1,1,8.63,260.9385,33.4521
9825290,1,1,10.91,260.9409,32.0781
9825486,1,1,12.56,260.9534,31.7163
9825731,1,1,11.14,260.9332,31.2986
9828183,1,1,9.55,261.0537,32.7807
9828308,1,1,11.20,260.9696,32.9996
9828472,1,1,12.40,260.9866,33.3409
9879452,1,1,11.16,261.0249,35.1805
10161517,4,3,14.24,27.4558,61.9216
10163838,4,3,12.82,27.5454,62.6251
10266882,1,1,10.32,267.0029,34.5536
10266995,1,1,10.94,267.1045,34.3987
10267410,1,1,7.63,267.0842,33.8000
10267821,1,1,10.00,267.1215,33.1974
10269575,1,1,11.27,267.0881,30.7692
10270202,1,1,9.55,267.0325,29.9309
10271087,1,1,9.08,267.2499,31.0059
10271124,1,1,10.54,267.2308,31.0508
10287315,1,1,9.79,267.2602,34.4939
10287517,1,1,10.46,267.1508,34.8206
10287653,1,1,9.73,267.2209,35.0271
10288491,1,1,9.15,267.3388,35.4427
10289234,1,1,9.72,267.3069,34.3104
10289988,1,1,7.90,267.3519,33.1896
10290020,1,1,8.36,267.3506,33.1380
10290537,1,1,10.42,267.2885,32.4360
10293240,1,1,7.32,267.4690,31.0373
10293572,1,1,8.52,267.5251,31.4946
10293623,1,1,10.04,267.4707,31.5678
10293866,1,1,11.29,267.4218,31.8841
10352491,4,3,9.13,27.9662,64.4339
10352533,4,3,14.16,28.0289,64.4486
10355226,4,3,13.04,27.9003,65.2588
10357377,1,1,10.22,267.4708,33.7821
10357422,1,1,10.05,267.4459,33.8496
10357476,1,1,10.67,267.4546,33.9122
10357755,1,1,8.16,267.4708,34.3003
10357810,1,1,10.25,267.4411,34.3795
10358002,1,1,10.94,267.4841,34.6570
10359202,1,1,8.03,267.6375,35.3904
10359340,1,1,10.23,267.6463,35.1762
10361648,1,1,8.40,267.6392,31.9344
10361810,1,1,10.06,267.5607,31.7452
10364510,1,1,9.67,267.7078,31.5687
10364634,1,1,11.94,267.6929,31.7440
10365060,1,1,10.66,267.7470,32.2938
10392744,1,1,8.59,267.7788,32.5103
10393493,1,1,12.11,267.7361,33.5458
10394697,1,1,8.46,267.7263,35.3432
10395188,1,1,9.06,267.9497,35.7415
10395214,1,1,9.63,267.8608,35.6972
10426191,4,3,12.36,28.4171,62.2851
10428030,4,3,8.57,28.4662,62.7807
10469219,1,1,10.52,268.0572,34.0640
10469243,1,1,9.99,267.9860,34.0973
10469316,1,1,8.17,268.0708,34.2008
10471162,1,1,8.24,268.1677,35.0861
10471820,1,1,10.04,268.1174,34.1452
10491567,1,1,8.10,268.3358,34.2473
10492367,1,1,10.15,268.3543,35.4935
10492953,1,1,8.75,268.5304,35.5569
10493772,1,1,9.65,268.4028,34.3849
10506521,4,3,8.26,28.6226,64.7932
10506748,4,3,12.45,28.6520,64.7322
10508208,4,3,12.95,28.6397,64.3244
10510382,4,3,3.42,28.5993,63.6700
10584854,1,1,8.48,268.5437,34.7099
10790655,4,3,10.64,28.8275,65.6303
10969843,4,3,13.65,29.3135,62.6338
10973895,4,3,12.65,29.3417,63.6711
11066690,4,3,8.76,29.6523,63.7946
11325040,4,3,5.31,29.9090,64.6215
11329657,4,3,12.11,30.0011,65.7186
11332689,4,3,12.60,30.1553,65.2667
11333775,4,3,13.21,30.2260,64.9450
11334563,4,3,8.21,30.2313,64.7218
11337032,4,3,12.21,30.0794,64.0353
11995368,4,3,12.61,31.1927,65.9435
11996814,4,3,11.65,31.1705,65.2894
12002586,4,3,12.32,31.2330,63.2486
12108208,4,3,13.25,32.6188,65.7487
12325486,4,3,12.88,32.7581,65.6403
12550101,4,3,12.54,33.3999,63.9104
12554500,4,3,8.42,33.4033,65.4265
12557102,4,3,13.75,33.4581,65.4069
12745687,4,3,11.52,33.7525,64.7494
12746149,4,3,15.18,33.9118,64.8925
12824209,4,3,14.91,33.8308,65.4832
12825453,4,3,12.79,33.9888,65.9518
12828162,4,3,8.06,33.9478,64.9310
12906363,4,3,14.74,34.5259,65.7402
12909405,4,3,12.87,34.4725,64.6354
12989571,4,3,11.54,36.0690,65.5605
12989930,4,3,12.33,36.0538,65.4034
13201438,4,3,9.57,36.3335,64.7450
13260257,4,3,12.82,36.1078,65.7059
13459076,4,3,12.57,36.7460,65.8761
13460363,4,3,8.46,37.0018,65.4635
17330279,1,2,7.62,240.9275,35.5492
17330786,1,2,8.48,240.8072,34.6881
17331239,1,2,7.64,240.9288,34.0131
17331985,1,2,10.62,240.8966,32.8058
17341671,1,2,8.72,240.9785,31.0430
17342155,1,2,10.77,240.9393,32.6165
17342187,1,2,11.00,241.0349,32.7324
17342647,1,2,6.71,241.0560,34.1789
17344139,1,2,9.48,241.0756,32.4211
17344212,1,2,8.93,241.1720,32.1583
17345020,1,2,10.13,241.3388,30.4014
17378043,1,2,11.29,241.2376,31.2224
17378050,1,2,9.49,241.3006,31.2363
17378431,1,2,9.87,241.2230,32.5838
17378659,1,2,9.45,241.2645,33.4477
17378670,1,2,11.14,241.2297,33.4724
17379021,1,2,11.37,241.2811,34.7854
17379221,1,2,8.01,241.2618,35.4784
17379576,1,2,7.49,241.4681,35.0046
17380223,1,2,9.95,241.4767,32.6901
17380368,1,2,5.30,241.4378,32.2476
17380560,1,2,7.47,241.3763,31.5835
17380752,1,2,5.94,241.4185,30.9170
17382053,1,2,10.96,241.5042,33.2705
17382225,1,2,11.38,241.6021,33.8303
17382231,1,2,10.23,241.5628,33.8409
17405794,1,2,12.94,241.6631,35.1258
